Filename	Latitude	Longitude
Line 1_Albert Rd NE to SW_GRMN0811_frame_000000_sec_0_00_00.jpg	-32.3664291668683	147.485188683495
Line 1_Albert Rd NE to SW_GRMN0811_frame_000030_sec_0_00_01.jpg	-32.36645417184571	147.48513517904127
Line 1_Albert Rd NE to SW_GRMN0811_frame_000060_sec_0_00_02.jpg	-32.36648110818122	147.4851072608492
Line 1_Albert Rd NE to SW_GRMN0811_frame_000090_sec_0_00_03.jpg	-32.36650983212515	147.48509010099843
Line 1_Albert Rd NE to SW_GRMN0811_frame_000120_sec_0_00_04.jpg	-32.36654830455777	147.4850863941012
Line 1_Albert Rd NE to SW_GRMN0811_frame_000150_sec_0_00_05.jpg	-32.36659797127358	147.48509989650893
Line 1_Albert Rd NE to SW_GRMN0811_frame_000180_sec_0_00_06.jpg	-32.36664693491533	147.48512902848398
Line 1_Albert Rd NE to SW_GRMN0811_frame_000210_sec_0_00_07.jpg	-32.366704023471065	147.4851751609709
Line 1_Albert Rd NE to SW_GRMN0811_frame_000240_sec_0_00_08.jpg	-32.36677838243547	147.48524352662236
Line 1_Albert Rd NE to SW_GRMN0811_frame_000270_sec_0_00_09.jpg	-32.36690728470688	147.48536191388018
Line 1_Albert Rd NE to SW_GRMN0811_frame_000300_sec_0_00_10.jpg	-32.36702081104737	147.48546197209515
Line 1_Albert Rd NE to SW_GRMN0811_frame_000330_sec_0_00_11.jpg	-32.36714334332383	147.48557498462537
Line 1_Albert Rd NE to SW_GRMN0811_frame_000360_sec_0_00_12.jpg	-32.36727649413046	147.48569509729742
Line 1_Albert Rd NE to SW_GRMN0811_frame_000390_sec_0_00_13.jpg	-32.367409465983535	147.48581225836622
Line 1_Albert Rd NE to SW_GRMN0811_frame_000420_sec_0_00_14.jpg	-32.36754779186096	147.4859319331688
Line 1_Albert Rd NE to SW_GRMN0811_frame_000450_sec_0_00_15.jpg	-32.36769002764489	147.48605380947748
Line 1_Albert Rd NE to SW_GRMN0811_frame_000480_sec_0_00_16.jpg	-32.36783916458485	147.48618451327093
Line 1_Albert Rd NE to SW_GRMN0811_frame_000510_sec_0_00_17.jpg	-32.36799081676643	147.48631937080074
Line 1_Albert Rd NE to SW_GRMN0811_frame_000540_sec_0_00_18.jpg	-32.3681400237791	147.48645569030154
Line 1_Albert Rd NE to SW_GRMN0811_frame_000570_sec_0_00_19.jpg	-32.36829524673519	147.48659063056064
Line 1_Albert Rd NE to SW_GRMN0811_frame_000600_sec_0_00_20.jpg	-32.368446291983105	147.486718332209
Line 1_Albert Rd NE to SW_GRMN0811_frame_000630_sec_0_00_21.jpg	-32.368598015913754	147.4868540535773
Line 1_Albert Rd NE to SW_GRMN0811_frame_000660_sec_0_00_22.jpg	-32.36873538332059	147.48697653237696
Line 1_Albert Rd NE to SW_GRMN0811_frame_000690_sec_0_00_23.jpg	-32.36887361565601	147.48710183311277
Line 1_Albert Rd NE to SW_GRMN0811_frame_000720_sec_0_00_24.jpg	-32.36901372939347	147.48722499445051
Line 1_Albert Rd NE to SW_GRMN0811_frame_000750_sec_0_00_25.jpg	-32.36915365629829	147.48734773602362
Line 1_Albert Rd NE to SW_GRMN0811_frame_000780_sec_0_00_26.jpg	-32.36929261794318	147.48746688678884
Line 1_Albert Rd NE to SW_GRMN0811_frame_000810_sec_0_00_27.jpg	-32.36942912335512	147.48758633502766
Line 1_Albert Rd NE to SW_GRMN0811_frame_000840_sec_0_00_28.jpg	-32.36956546548754	147.4877046515423
Line 1_Albert Rd NE to SW_GRMN0811_frame_000870_sec_0_00_29.jpg	-32.36970161559057	147.48782022968817
Line 1_Albert Rd NE to SW_GRMN0811_frame_000900_sec_0_00_30.jpg	-32.36983106536794	147.4879261594261
Line 1_Albert Rd NE to SW_GRMN0811_frame_000930_sec_0_00_31.jpg	-32.369951628986776	147.48803590477436
Line 1_Albert Rd NE to SW_GRMN0811_frame_000960_sec_0_00_32.jpg	-32.37006164900957	147.48813521549144
Line 1_Albert Rd NE to SW_GRMN0811_frame_000990_sec_0_00_33.jpg	-32.37017462742512	147.4882359597648
Line 1_Albert Rd NE to SW_GRMN0811_frame_001019_sec_0_00_34.jpg	-32.37027559898513	147.48832792610702
Line 1_Albert Rd NE to SW_GRMN0811_frame_001049_sec_0_00_35.jpg	-32.37037129928078	147.48841045201203
Line 1_Albert Rd NE to SW_GRMN0811_frame_001079_sec_0_00_36.jpg	-32.37044685800562	147.48847185013707
Line 1_Albert Rd NE to SW_GRMN0811_frame_001109_sec_0_00_37.jpg	-32.370508049223545	147.48852607680982
Line 1_Albert Rd NE to SW_GRMN0811_frame_001139_sec_0_00_38.jpg	-32.37055331637342	147.48856414774886
Line 1_Albert Rd NE to SW_GRMN0811_frame_001169_sec_0_00_39.jpg	-32.370589902738125	147.48857955314782
Line 1_Albert Rd NE to SW_GRMN0811_frame_001199_sec_0_00_40.jpg	-32.37062731506952	147.48857419382315
Line 1_Albert Rd NE to SW_GRMN0811_frame_001229_sec_0_00_41.jpg	-32.37066351750679	147.4885450829062
Line 1_Albert Rd NE to SW_GRMN0811_frame_001259_sec_0_00_42.jpg	-32.37070493946414	147.48849435991704
Line 1_Albert Rd NE to SW_GRMN0811_frame_001289_sec_0_00_43.jpg	-32.37074337100704	147.48841891657517
Line 1_Albert Rd NE to SW_GRMN0811_frame_001319_sec_0_00_44.jpg	-32.370782354392134	147.4883246152411
Line 1_Albert Rd NE to SW_GRMN0811_frame_001349_sec_0_00_45.jpg	-32.37083413215725	147.48822285969877
