station,easting,northing,elevation
"21000",531537.949,6382889.154,100.000
"21001",531547.930,6382889.777,100.000
"21002",531557.911,6382890.400,100.000
"21003",531567.891,6382891.023,100.000
"21004",531577.872,6382891.646,100.000
"21005",531587.852,6382892.269,100.000
"21006",531597.833,6382892.892,100.000
"21007",531607.813,6382893.514,100.000
"21008",531617.794,6382894.137,100.000
"21009",531627.775,6382894.760,100.000
"21010",531637.755,6382895.383,100.000
"21011",531647.736,6382896.006,100.000
"21012",531657.716,6382896.629,100.000
"21013",531667.697,6382897.252,100.000
"21014",531677.678,6382897.874,100.000
"21015",531687.658,6382898.497,100.000
"21016",531697.639,6382899.120,100.000
"21017",531707.619,6382899.743,100.000
"21018",531717.600,6382900.366,100.000
"21019",531727.580,6382900.989,100.000
"21020",531737.561,6382901.612,100.000
"21021",531747.542,6382902.234,100.000
"21022",531757.522,6382902.857,100.000
"21023",531767.503,6382903.480,100.000
"21024",531777.483,6382904.103,100.000
"21025",531787.464,6382904.726,100.000
"21026",531797.445,6382905.349,100.000
"21027",531807.425,6382905.972,100.000
"21028",531817.406,6382906.594,100.000
"21029",531827.386,6382907.217,100.000
"21030",531837.367,6382907.840,100.000
"21031",531847.347,6382908.463,100.000
"21032",531857.328,6382909.086,100.000
"21033",531867.309,6382909.709,100.000
"21034",531877.289,6382910.332,100.000
"21035",531887.270,6382910.954,100.000
"21036",531897.250,6382911.577,100.000
"21037",531907.231,6382912.200,100.000
"21038",531917.212,6382912.823,100.000
"21039",531927.192,6382913.446,100.000
"21040",531937.173,6382914.069,100.000
"21041",531947.153,6382914.692,100.000
"21042",531957.134,6382915.314,100.000
"21043",531967.114,6382915.937,100.000
"21044",531977.095,6382916.560,100.000
"21045",531987.076,6382917.183,100.000
"21046",531997.056,6382917.806,100.000
"21047",532007.037,6382918.429,100.000
"21048",532017.017,6382919.052,100.000
"21049",532026.998,6382919.674,100.000
"21050",532036.979,6382920.297,100.000
"21051",532046.959,6382920.920,100.000
"21052",532056.940,6382921.543,100.000
"21053",532066.920,6382922.166,100.000
"21054",532076.901,6382922.789,100.000
"21055",532086.882,6382923.412,100.000
"21056",532096.862,6382924.034,100.000
"21057",532106.843,6382924.657,100.000
"21058",532116.823,6382925.280,100.000
"21059",532126.804,6382925.903,100.000
"21060",532136.784,6382926.526,100.000
"21061",532146.765,6382927.149,100.000
"21062",532156.746,6382927.772,100.000
"21063",532166.726,6382928.394,100.000
"21064",532176.707,6382929.017,100.000
"21065",532186.687,6382929.640,100.000
"21066",532196.668,6382930.263,100.000
"21067",532206.649,6382930.886,100.000
"21068",532216.629,6382931.509,100.000
"21069",532226.610,6382932.132,100.000
"21070",532236.590,6382932.754,100.000
"21071",532246.571,6382933.377,100.000
"21072",532256.551,6382934.000,100.000
"21073",532266.532,6382934.623,100.000
"21074",532276.513,6382935.246,100.000
"21075",532286.493,6382935.869,100.000
"21076",532296.474,6382936.492,100.000
"21077",532306.454,6382937.114,100.000
"21078",532316.435,6382937.737,100.000
"21079",532326.416,6382938.360,100.000
"21080",532336.396,6382938.983,100.000
"21081",532346.377,6382939.606,100.000
"21082",532356.357,6382940.229,100.000
"21083",532366.338,6382940.852,100.000
"21084",532376.318,6382941.474,100.000
"21085",532386.299,6382942.097,100.000
"21086",532396.280,6382942.720,100.000
"21087",532406.260,6382943.343,100.000
"21088",532416.241,6382943.966,100.000
"21089",532426.221,6382944.589,100.000
"21090",532436.202,6382945.212,100.000
"21091",532446.183,6382945.834,100.000
"21092",532456.163,6382946.457,100.000
"21093",532466.144,6382947.080,100.000
"21094",532476.124,6382947.703,100.000
"21095",532486.105,6382948.326,100.000
"21096",532496.085,6382948.949,100.000
"21097",532506.066,6382949.571,100.000
"21098",532516.047,6382950.194,100.000
"21099",532526.027,6382950.817,100.000
"21100",532536.008,6382951.440,100.000
"21101",532545.988,6382952.063,100.000
"21102",532555.969,6382952.686,100.000
"21103",532565.950,6382953.309,100.000
"21104",532575.930,6382953.931,100.000
"21105",532585.911,6382954.554,100.000
"21106",532595.891,6382955.177,100.000
"21107",532605.872,6382955.800,100.000
"21108",532615.852,6382956.423,100.000
"21109",532625.833,6382957.046,100.000
"21110",532635.814,6382957.669,100.000
"21111",532645.794,6382958.291,100.000
"21112",532655.775,6382958.914,100.000
"21113",532665.755,6382959.537,100.000
"21114",532675.736,6382960.160,100.000
"21115",532685.717,6382960.783,100.000
"21116",532695.697,6382961.406,100.000
"21117",532705.678,6382962.029,100.000
"21118",532715.658,6382962.651,100.000
"21119",532725.639,6382963.274,100.000
"21120",532735.619,6382963.897,100.000
"21121",532745.600,6382964.520,100.000
"21122",532755.581,6382965.143,100.000
"21123",532765.561,6382965.766,100.000
"21124",532775.542,6382966.389,100.000
"21125",532785.522,6382967.011,100.000
"21126",532795.503,6382967.634,100.000
"21127",532805.484,6382968.257,100.000
"21128",532815.464,6382968.880,100.000
"21129",532825.445,6382969.503,100.000
"21130",532835.425,6382970.126,100.000
"21131",532845.406,6382970.749,100.000
"21132",532855.386,6382971.371,100.000
"21133",532865.367,6382971.994,100.000
"21134",532875.348,6382972.617,100.000
"21135",532885.328,6382973.240,100.000
"21136",532895.309,6382973.863,100.000
"21137",532905.289,6382974.486,100.000
"21138",532915.270,6382975.109,100.000
"21139",532925.251,6382975.731,100.000
"21140",532935.231,6382976.354,100.000
"21141",532945.212,6382976.977,100.000
"21142",532955.192,6382977.600,100.000
"21143",532965.173,6382978.223,100.000
"21144",532975.153,6382978.846,100.000
"21145",532985.134,6382979.469,100.000
"21146",532995.115,6382980.091,100.000
"21147",533005.095,6382980.714,100.000
"21148",533015.076,6382981.337,100.000
"21149",533025.056,6382981.960,100.000
"21150",533035.037,6382982.583,100.000
"21151",533045.018,6382983.206,100.000
"21152",533054.998,6382983.829,100.000
"21153",533064.979,6382984.451,100.000
"21154",533074.959,6382985.074,100.000
"21155",533084.940,6382985.697,100.000
"21156",533094.920,6382986.320,100.000
"21157",533104.901,6382986.943,100.000
"21158",533114.882,6382987.566,100.000
"21159",533124.862,6382988.189,100.000
"21160",533134.843,6382988.811,100.000
"21161",533144.823,6382989.434,100.000
"21162",533154.804,6382990.057,100.000
"21163",533164.785,6382990.680,100.000
"21164",533174.765,6382991.303,100.000
"21165",533184.746,6382991.926,100.000
"21166",533194.726,6382992.549,100.000
"21167",533204.707,6382993.171,100.000
"21168",533214.687,6382993.794,100.000
"21169",533224.668,6382994.417,100.000
"21170",533234.649,6382995.040,100.000
"21171",533244.629,6382995.663,100.000
"21172",533254.610,6382996.286,100.000
"21173",533264.590,6382996.909,100.000
"21174",533274.571,6382997.531,100.000
"21175",533284.552,6382998.154,100.000
"21176",533294.532,6382998.777,100.000
"21177",533304.513,6382999.400,100.000
"21178",533314.493,6383000.023,100.000
"21179",533324.474,6383000.646,100.000
"21180",533334.454,6383001.269,100.000
"21181",533344.435,6383001.891,100.000
"21182",533354.416,6383002.514,100.000
"21183",533364.396,6383003.137,100.000
"21184",533374.377,6383003.760,100.000
"21185",533384.357,6383004.383,100.000
"21186",533394.338,6383005.006,100.000
"21187",533404.319,6383005.629,100.000
"21188",533414.299,6383006.251,100.000
"21189",533424.280,6383006.874,100.000
"21190",533434.260,6383007.497,100.000
